Name,Type,Reviews,No_of_Reviews,Menu,Price_Range,Vegan,Vegetarian
La Hacienda Ranch," Steakhouse, Mexican, Vegetarian Friendly",4.0,642,Check The Website for a Menu,Medium,False,True
Breadsticks Cafe & Grill," American, Vegetarian Friendly, Vegan Options",4.0,928,https://resortsac.com/wp-content/uploads/2018/08/Breadsticks_BreakfastMenu_Winter-2017-2018.pdf,Medium,True,True
Revolve True Food & Wine Bar," Bar, Contemporary, Fusion",4.0,30,https://revolvefoodwine.com/menus/,Medium,False,False
The Lion's Share," American, Bar, Gluten Free Options",4.5,179,Check The Website for a Menu,Medium,False,False
Tilikum Place Cafe," American, European, Vegetarian Friendly",4.5,746,Check The Website for a Menu,Medium,False,True
BV Tuscany Italian Restaurant," Italian, Vegetarian Friendly, Gluten Free Options",4.5,119,Check The Website for a Menu,Medium,False,True
The Misfit Restaurant & Bar," American, Bar, Contemporary",4.5,829,Check The Website for a Menu,Medium,False,False
Beso," Latin, Spanish, Vegetarian Friendly",4.5,515,Check The Website for a Menu,Medium,False,True
Social 37," American, Bar, Gastropub",4.0,123,Check The Website for a Menu,Medium,False,False
Ristorante Paradiso," Italian, Vegetarian Friendly, Gluten Free Options",4.5,189,Check The Website for a Menu,Medium,False,True
Tabernilla," Spanish, Mediterranean, Wine Bar",5.0,39,http://www.tabernillalaredo.com#menu,Medium,False,False
Buddakan," Chinese, Asian, Vegetarian Friendly",4.5,742,Check The Website for a Menu,Pricey,False,True
Hodel's Country Dining," American, Vegetarian Friendly, Vegan Options",4.0,264,Check The Website for a Menu,Medium,True,True
Magic Castle," American, Vegetarian Friendly",4.5,399,Check The Website for a Menu,Pricey,False,True
Jorge's Mexican Restaurant," Mexican, Southwestern, Vegetarian Friendly",4.0,111,http://jorgesmexican.com/index.php?page=menu,Medium,False,True
Ziziki's at The Star," Mediterranean, Greek, Italian",4.5,24,http://www.zizikis.com/menus,Medium,False,False
The Attic," Cajun & Creole, American, Vegetarian Friendly",4.5,187,http://www.theatticonbroadway.com/pages/menu,Medium,False,True
Del Posto," Italian, Vegetarian Friendly, Vegan Options",4.5,1653,Check The Website for a Menu,Pricey,True,True
Moore's Tavern & Restaurant," American, Bar, Pub",3.5,223,Check The Website for a Menu,Medium,False,False
Fin Raw Bar and Kitchen," American, Seafood",4.0,153,Check The Website for a Menu,Medium,False,False
The Capital Grille," American, Steakhouse, Gluten Free Options",4.5,240,Check The Website for a Menu,Pricey,False,False
The Cheesecake Factory," American, Vegetarian Friendly, Vegan Options",4.0,364,https://order.thecheesecakefactory.com/menu/fresno-ca,Medium,True,True
Pizzeria Credo," Italian, Pizza, Vegetarian Friendly",4.5,191,http://pizzeriacredo.com/#our-menu,Medium,False,True
Cheeseboard Pizza," Pizza, Vegetarian Friendly, Vegan Options",4.5,775,Check The Website for a Menu,Cheap,True,True
Cortina's Italian Market & Pizzeria," Italian, Pizza, Deli",4.5,124,Check The Website for a Menu,Medium,False,False
Havana Central," Caribbean, Latin, Spanish",3.5,198,Check The Website for a Menu,Medium,False,False
Yard House," American, Bar, Pub",4.0,292,Check The Website for a Menu,Medium,False,False
Siete Banderas, Mexican,4.5,29,Check The Website for a Menu,Medium,False,False
Jeanne D'Arc Restaurant," French, European, Vegetarian Friendly",4.5,683,Check The Website for a Menu,Medium,False,True
Norma's Cafe," American, Cafe, Diner",4.5,214,http://www.normascafe.com/menu/,Medium,False,False
Lonesome Dove Western Bistro," American, Southwestern, Vegetarian Friendly",4.5,513,Check The Website for a Menu,Pricey,False,True
KathaKali Indian Eatery," Indian, Asian, Vegetarian Friendly",4.5,44,Check The Website for a Menu,Medium,False,True
Mission Galleria, Cafe,4.5,28,Check The Website for a Menu,Cheap,False,False
Bill's Cafe," American, Cafe, International",4.5,611,Check The Website for a Menu,Medium,False,False
MASH'D," American, Bar, International",4.5,307,https://mashd.com/wp-content/uploads/2019/08/Davie_Brunch-Menu_08_08_19.pdf,Medium,False,False
Eddie V's Wildfish," American, Seafood, Vegetarian Friendly",4.5,440,Check The Website for a Menu,Pricey,False,True
Buzzard Billy's," American, Bar, Seafood",3.5,660,http://www.buzzardbillys.com/des-moines/menu/,Medium,False,False
Anthony's HomePort," American, Seafood, Vegetarian Friendly",4.0,413,Check The Website for a Menu,Medium,False,True
Kwan Tip Thai," Asian, Thai, Vegetarian Friendly",4.5,28,Check The Website for a Menu,Medium,False,True
Longboard Restaurant & Pub," American, Bar, Pub",4.0,135,Check The Website for a Menu,Medium,False,False
Acropolis Pizza & Pasta," Greek, Italian, Pizza",4.0,74,Check The Website for a Menu,Cheap,False,False
Cedars at Pier One," American, Seafood, Bar",4.0,160,Check The Website for a Menu,Pricey,False,False
Bisque Restaurant," American, Seafood, Gluten Free Options",4.5,273,http://www.bisquelbi.com,Pricey,False,False
Rosco's Burger Inn," American, Diner",4.5,86,Check The Website for a Menu,Cheap,False,False
The Capital Grille," American, Steakhouse, Vegetarian Friendly",4.5,932,Check The Website for a Menu,Pricey,False,True
Maxie's Supper Club and Oyster Bar," American, Bar, Seafood",4.0,378,https://www.maxiesithaca.com/menus/#food,Medium,False,False
The Cheesecake Factory," American, Vegetarian Friendly, Vegan Options",4.0,217,https://order.thecheesecakefactory.com/menu/hackensack-nj,Medium,True,True
677 Prime," American, Steakhouse, Gluten Free Options",4.5,437,Check The Website for a Menu,Pricey,False,False
Bareburger," American, Vegetarian Friendly, Vegan Options",4.0,138,Check The Website for a Menu,Medium,True,True
Oto Sushi," Japanese, Sushi, Asian",4.0,51,Check The Website for a Menu,Medium,False,False
Red Apple Cafe," American, Cafe, Vegetarian Friendly",4.5,87,Check The Website for a Menu,Medium,False,True
Ayothaya Thai Restaurant," Thai, Asian, Vegan Options",4.5,30,Check The Website for a Menu,Medium,True,False
Mulvaney's Building & Loan," American, Vegetarian Friendly, Vegan Options",4.5,250,Check The Website for a Menu,Pricey,True,True
Fat Pie Pizza," Italian, American, Pizza",4.5,219,http://www.fatpiepizza.com/menu,Medium,False,False
Jack Allen's Kitchen," American, Southwestern, Bar",4.5,184,https://jackallenskitchen.com/menus,Medium,False,False
Rutabegorz," American, Vegetarian Friendly, Vegan Options",4.5,174,Check The Website for a Menu,Medium,True,True
La Volpe," Italian, American, Seafood",4.5,11,Check The Website for a Menu,Medium,False,False
Brother's Office Pizzeria," Pizza, Vegetarian Friendly",4.5,58,Check The Website for a Menu,Medium,False,True
Gorkha Durbar," Asian, Indian, Tibetan",4.5,12,http://www.gorkhadurbarseattle.com/menu,Medium,False,False
H3 Ranch," American, Steakhouse, Southwestern",4.5,1490,Check The Website for a Menu,Medium,False,False
Ajanta Distinctive Indian Cuisine," Indian, Vegetarian Friendly, Vegan Options",4.5,162,Check The Website for a Menu,Medium,True,True
Black Angus Steakhouse," American, Steakhouse, Bar",4.0,401,Check The Website for a Menu,Medium,False,False
Off Vine," American, Contemporary, Vegetarian Friendly",4.5,301,Check The Website for a Menu,Medium,False,True
Seasons 52," American, Wine Bar, Vegetarian Friendly",4.5,493,Check The Website for a Menu,Medium,False,True
Esquina Latina," Latin, Cuban, Caribbean",4.0,100,http://www.esquinalatinarestaurant.com/Happy-Hours-Menu.html,Medium,False,False
Pane e Vino," Italian, Pizza, Vegetarian Friendly",4.5,54,Check The Website for a Menu,Medium,False,True
Capers + Olives," Italian, Vegetarian Friendly",4.5,25,Check The Website for a Menu,Medium,False,True
Elements Restaurant," American, Vegetarian Friendly, Gluten Free Options",4.5,123,http://www.elementsvancouver.com,Medium,False,True
Jack's Oyster House," American, Seafood, Gluten Free Options",4.0,516,Check The Website for a Menu,Pricey,False,False
Yono's Restaurant," Indonesian, American, Vegetarian Friendly",4.5,282,Check The Website for a Menu,Pricey,False,True
Fleming's Prime Steakhouse & Wine Bar," American, Steakhouse, Gluten Free Options",4.5,202,Check The Website for a Menu,Pricey,False,False
Bill's Pizza," Italian, Pizza, Vegetarian Friendly",4.5,1492,Check The Website for a Menu,Cheap,False,True
LuNello's Resturant," Italian, Vegetarian Friendly, Vegan Options",4.5,114,Check The Website for a Menu,Pricey,True,True
Ironbound," American, Bar",4.0,108,Check The Website for a Menu,Medium,False,False
Pizza Port," Pizza, Italian",4.0,47,Check The Website for a Menu,Cheap,False,False
Sbarro," Italian, Pizza, Fast Food",4.0,77,Check The Website for a Menu,Cheap,False,False
Brasilia Grill," Latin, Barbecue, Brazilian",4.0,166,Check The Website for a Menu,Medium,False,False
Henry Street Taproom," American, Bar, Pub",4.5,161,Check The Website for a Menu,Medium,False,False
Heroes Restaurant and Brewery," American, Bar, Pub",4.5,182,https://www.heroesrestaurantandbrewery.com/pages/menus,Medium,False,False
La Playita," Mexican, Latin, Vegetarian Friendly",4.5,315,Check The Website for a Menu,Cheap,False,True
Metropolitan Cafe," American, Sushi, Gluten Free Options",4.0,165,Check The Website for a Menu,Medium,False,False
Din Tai Fung," Chinese, Vegan Options",4.5,412,https://dintaifungusa.com/menu/appetizers/,Medium,True,False
Rudy's," American, Barbecue, Gluten Free Options",4.5,373,Check The Website for a Menu,Medium,False,False
Murray's Cheese," Deli, Vegetarian Friendly",4.5,258,http://Www.murrayscheese.com/catering-menu,Medium,False,True
INC Restaurant," American, Bar, Vegetarian Friendly",4.5,116,http://increstaurant.com/menus/,Medium,False,True
Sushi-sake Japanese Restaurant," Japanese, Sushi, Asian",4.5,210,Check The Website for a Menu,Medium,False,False
Jin Sushi," Japanese, Sushi, Asian",4.5,67,http://jin-sushi.cafe-inspector.com#menu,Medium,False,False
LongHorn Steakhouse," American, Steakhouse",4.0,132,Check The Website for a Menu,Medium,False,False
Ciao Wood-Fired Pizza & Pasta," Italian, Pizza, Vegan Options",4.0,404,Check The Website for a Menu,Medium,True,False
Oto Sushi," Japanese, Sushi, Asian",4.0,46,Check The Website for a Menu,Medium,False,False
La Hacienda," Mexican, Latin, Spanish",4.0,51,Check The Website for a Menu,Medium,False,False
Utopia," Italian, Vegan Options, Vegetarian Friendly",4.5,220,Check The Website for a Menu,Medium,True,True
Jon & Patty's Coffee Bar & Bistro," American, Cafe, Vegetarian Friendly",4.5,393,https://jonandpattys.com/menu/,Medium,False,True
La Cucina Di Mamma," Italian, Vegetarian Friendly, Vegan Options",4.5,545,Check The Website for a Menu,Medium,True,True
Bob's Burgers & Brew," American, Vegetarian Friendly, Vegan Options",4.0,488,https://www.bobsburgersandbrew.com/content/menu/menu.asp,Medium,True,True
Los Camperos Restaurant," Mexican, Latin",4.0,54,Check The Website for a Menu,Medium,False,False
Marianna Ristorante," Italian, Pizza, Vegetarian Friendly",4.0,95,https://www.mariannaristorante.com/menus/,Medium,False,True
Catfish Charlie's," American, Seafood",4.5,379,Check The Website for a Menu,Medium,False,False
What The Pho," Asian, Vietnamese, Vegetarian Friendly",4.0,25,http://whatthepho.net/menu/,Cheap,False,True
Duke's Huntington Beach," American, Bar, Seafood",4.5,1788,Check The Website for a Menu,Medium,False,False
Antonia's Restaurant," Italian, Vegetarian Friendly, Vegan Options",4.5,314,Check The Website for a Menu,Medium,True,True
True Food Kitchen," American, Contemporary, Vegetarian Friendly",4.5,1371,Check The Website for a Menu,Medium,False,True
Hugo's Invitados," Mexican, Latin, Bar",4.5,44,https://www.hugosinvitados.com/menu,Medium,False,False
Lynn's Bistro," French, International, European",4.5,171,Check The Website for a Menu,Medium,False,False
Fadi's Mediterranean Grill," Mediterranean, Middle Eastern, Vegan Options",4.5,203,Check The Website for a Menu,Medium,True,False
Italian Cafe," Italian, Vegetarian Friendly",4.5,65,Check The Website for a Menu,Medium,False,True
Island Cafe," American, Bar, Cafe",4.5,269,Check The Website for a Menu,Medium,False,False
Cafe Veloce," Italian, Pizza, Vegetarian Friendly",4.5,181,Check The Website for a Menu,Medium,False,True
Frank Fat's Restaurant," Chinese, Asian, Vegetarian Friendly",4.5,368,Check The Website for a Menu,Medium,False,True
Forno's of Spain Restaurant," Seafood, European, Spanish",4.5,783,Check The Website for a Menu,Medium,False,False
Roma D Italia," Italian, Pizza, Vegetarian Friendly",4.5,276,Check The Website for a Menu,Medium,False,True
Rancho Viejo," Mexican, Vegetarian Friendly",4.5,47,http://ranchoviejomexican.com/full-menu/3200123,Medium,False,True
Stella Barra Pizzeria," Italian, Pizza, Vegetarian Friendly",4.5,256,Check The Website for a Menu,Medium,False,True
Ambrogio15," Italian, Pizza, Wine Bar",5.0,262,https://www.ambrogio15.com/menu/,Medium,False,False
30 Lake," American, Seafood, Vegetarian Friendly",4.5,182,Check The Website for a Menu,Medium,False,True
Milt's Coffee Shop," American, Diner, Vegetarian Friendly",4.0,103,Check The Website for a Menu,Medium,False,True
Maccheroni Republic," Italian, Mediterranean, Sicilian",4.5,322,Check The Website for a Menu,Medium,False,False
Pj's Pancake House," American, International, Vegetarian Friendly",4.0,441,Check The Website for a Menu,Medium,False,True
Rainbow Diner Restaurant," American, Greek, Diner",4.0,262,Check The Website for a Menu,Cheap,False,False
Craft & Social," American, Bar, Pub",4.5,64,Check The Website for a Menu,Medium,False,False
Old European Restaurant," German, European, Vegetarian Friendly",4.5,236,Check The Website for a Menu,Medium,False,True
18 Oaks," American, Steakhouse, Gluten Free Options",4.5,350,Check The Website for a Menu,Pricey,False,False
PITHARI TAVERNA," Mediterranean, Greek, Vegetarian Friendly",4.0,201,Check The Website for a Menu,Medium,False,True
Lombardi's Italian Restaurant & Wine Bar," Italian, Vegetarian Friendly, Gluten Free Options",4.0,310,https://www.lombardisitalian.com/everett-menu/,Medium,False,True
Fish Shack," American, Seafood",4.5,332,Check The Website for a Menu,Medium,False,False
Denino's Pizzeria & Tavern," Italian, Pizza, Vegetarian Friendly",4.5,805,Check The Website for a Menu,Medium,False,True
Le Grand Bistro Americain," French, Gluten Free Options, Vegetarian Friendly",4.0,238,Check The Website for a Menu,Medium,False,True
Bobs at the Marina, Seafood,4.0,23,Check The Website for a Menu,Medium,False,False
Daniel," French, Vegetarian Friendly, Vegan Options",4.5,3274,Check The Website for a Menu,Pricey,True,True
Poppa Rollo's Pizza," Italian, Pizza, Vegetarian Friendly",4.0,130,Check The Website for a Menu,Medium,False,True
Lobster Shop," American, Seafood, Vegetarian Friendly",4.5,563,Check The Website for a Menu,Pricey,False,True
Houlihan's," American, Bar, Gluten Free Options",4.0,162,http://www.houlihans.com/eats-and-drinks/menu/lunch/farmingdale,Medium,False,False
King's Fish House," American, Seafood, Soups",4.5,532,http://kingsfishhouse.net/menus/Long%20Beach/King'sLunchMenu.pdf,Medium,False,False
Ola Mexican Kitchen," Mexican, Southwestern, Vegetarian Friendly",4.0,253,https://olamexicankitchen.com/menu/,Medium,False,True
MIZU Sushi Bar & Grill," Japanese, Sushi, Asian",4.5,128,Check The Website for a Menu,Medium,False,False
Novellis Italian Restaurant," Italian, Vegetarian Friendly, Vegan Options",4.5,144,Check The Website for a Menu,Pricey,True,True
Mother's Cupboard Fish Fry," American, Diner",4.5,141,Check The Website for a Menu,Cheap,False,False
Fremont Brewing," Pub, Brew Pub",4.5,185,Check The Website for a Menu,Cheap,False,False
Andale Mexican Restaurant & Cantina," Mexican, Latin, Vegetarian Friendly",4.0,150,http://www.andalemexicanrestaurant.com/#menu,Medium,False,True
Simmzy's Pub," American, Bar, Pub",4.5,122,http://www.simmzys.com/pub/menu,Medium,False,False
Q-Shi," Japanese, Barbecue, Sushi",4.5,116,Check The Website for a Menu,Medium,False,False
Artisans," French, Gluten Free Options, Vegetarian Friendly",4.5,241,Check The Website for a Menu,Pricey,False,True
Texas Roadhouse," American, Steakhouse",4.5,209,http://www.texasroadhouse.com/menu,Medium,False,False
Gandolfo's New York Deli," American, Deli, Vegetarian Friendly",4.5,80,https://gandolfosdeli.com/store-menus/,Medium,False,True
Katie O'Byrnes Restaurant," Irish, Bar, Pub",4.0,206,Check The Website for a Menu,Medium,False,False
Asian Jewels Seafood Restaurant," Chinese, Asian, Seafood",4.0,119,Check The Website for a Menu,Medium,False,False
Ram Restaurant and Brewery," American, Bar, Pub",4.0,137,Check The Website for a Menu,Medium,False,False
Golden Steer Steak'n Rib House," American, Steakhouse",3.5,74,Check The Website for a Menu,Medium,False,False
The Capital Grille," American, Steakhouse, Vegetarian Friendly",4.5,428,https://www.thecapitalgrille.com/menu-listing?cmpid=br:tcg_ag:ie_ch:dry_ca:TCGQ120LOCURL_dt:20190530_sn:tripadvisor_gt:houston-tx-8007_pl:menu_rd:1008,Pricey,False,True
The Irishmen," Irish, Bar, Pub",4.0,82,Check The Website for a Menu,Medium,False,False
Brazos Bar & Bistro," American, Bar, Vegetarian Friendly",4.5,311,Check The Website for a Menu,Medium,False,True
Bahari Estiatorio," Mediterranean, Greek, Vegetarian Friendly",4.5,224,Check The Website for a Menu,Medium,False,True
Dee Lincoln Prime," Steakhouse, American, Seafood",4.0,43,https://deelincolnprime.com/menu/,Pricey,False,False
Gator's Sports Bar & Grill," American, Bar, Pub",4.0,40,http://gatorskent.com/menu/,Medium,False,False
Los Tacos No. 1," Mexican, Latin, Central American",4.5,515,http://lostacos1.com/menus/,Cheap,False,False
Forge Pizza Oakland," American, Bar, Pizza",4.0,181,Check The Website for a Menu,Medium,False,False
Langer's," American, Diner, Deli",4.5,820,Check The Website for a Menu,Medium,False,False
618," American, Vegetarian Friendly, Vegan Options",4.5,395,http://618nj.com/menus/,Medium,True,True
Wool Growers," Vegetarian Friendly, Vegan Options, Gluten Free Options",4.5,593,Check The Website for a Menu,Medium,True,True
Antonello Ristorante," Italian, Vegetarian Friendly, Vegan Options",4.5,151,Check The Website for a Menu,Pricey,True,True
Texas Roadhouse," American, Steakhouse",4.0,146,http://www.texasroadhouse.com/menu,Medium,False,False
Asian 1," Asian, Thai, Sushi",4.0,138,Check The Website for a Menu,Medium,False,False
Cafe Beach Club," American, Cafe, Vegetarian Friendly",4.5,220,Check The Website for a Menu,Medium,False,True
Longfellows," American, Bar, Pub",4.5,317,Check The Website for a Menu,Medium,False,False
The Hoppy Monk," Gastropub, American, Bar",4.5,216,Check The Website for a Menu,Medium,False,False
Pearl," American, Bar, Pub",4.0,218,Check The Website for a Menu,Medium,False,False
River Station Restaurant," American, Bar, Seafood",3.5,239,Check The Website for a Menu,Medium,False,False
Rocco's," Italian, American, Bar",4.5,362,Check The Website for a Menu,Medium,False,False
Six Seven Restaurant," Seafood, Vegetarian Friendly, Vegan Options",4.5,1123,https://www.edgewaterhotel.com/seattle-six-seven-restaurant.aspx,Pricey,True,True
Mikes Pizza," Italian, Pizza, Fast Food",4.0,210,Check The Website for a Menu,Cheap,False,False
Ready's Coffee Shop & Restaurant," American, Cafe, Vegetarian Friendly",4.5,85,Check The Website for a Menu,Cheap,False,True
Country Burger & Teriyaki," American, Asian, Fast Food",4.5,21,Check The Website for a Menu,Cheap,False,False
Pappadeaux Seafood Kitchen," American, Seafood, Cajun & Creole",4.5,443,Check The Website for a Menu,Medium,False,False
Triangle Diner," American, Diner, Vegetarian Friendly",4.5,354,Check The Website for a Menu,Cheap,False,True
Well 80," American, Bar, Pub",4.5,55,http://well80.com/dinner-menu,Medium,False,False
15 Church Restaurant," American, Vegetarian Friendly, Vegan Options",4.5,821,https://www.15churchrestaurant.com/saratoga-springs/dinner-menu/,Pricey,True,True
Maison Premiere," Seafood, Gluten Free Options",4.5,332,Check The Website for a Menu,Medium,False,False
Lamberti's Tutti Toscani," Italian, Pizza, Gluten Free Options",4.0,104,Check The Website for a Menu,Medium,False,False
President Thai Restaurant," Asian, Thai, Vegetarian Friendly",4.5,164,Check The Website for a Menu,Medium,False,True
NAAN-N-CURRY," Indian, Pakistani, Vegetarian Friendly",4.0,211,Check The Website for a Menu,Medium,False,True
John Howie Steak," American, Steakhouse, Gluten Free Options",4.5,564,Check The Website for a Menu,Pricey,False,False
Casa Vasca," Seafood, European, Spanish",4.5,244,Check The Website for a Menu,Medium,False,False
The Buffet," Chinese, Sushi, Asian",4.0,56,http://thebuffet-ny.com/our-menu/,Medium,False,False
Texas Roadhouse Restaurant," American, Steakhouse",4.0,104,http://www.texasroadhouse.com/menu,Medium,False,False
Satellite Diner & Lounge," American, Bar, Diner",4.5,270,http://www.satellitediner.com/menu.html,Cheap,False,False
Ooka Japanese Restaurant," Japanese, Sushi, Asian",4.0,71,Check The Website for a Menu,Medium,False,False
Mediterra Restaurant," Mediterranean, Vegetarian Friendly, Vegan Options",4.0,670,Check The Website for a Menu,Medium,True,True
Reata Restaurant," American, Vegetarian Friendly, Gluten Free Options",4.5,1633,Check The Website for a Menu,Pricey,False,True
Saltgrass Steak House," American, Steakhouse, Bar",4.0,290,Check The Website for a Menu,Medium,False,False
La Quinta Cliffhouse Grill and Bar," American, Bar, Vegetarian Friendly",4.5,1256,Check The Website for a Menu,Medium,False,True
Il Fornaio," Italian, Vegetarian Friendly, Vegan Options",4.0,346,Check The Website for a Menu,Medium,True,True
Saltgrass Steak House," Bar, American, Pub",4.5,270,Check The Website for a Menu,Medium,False,False
1848 BBQ, Barbecue,4.5,13,Check The Website for a Menu,Medium,False,False
Brent's Delicatessen & Restaurant," American, Deli, Vegetarian Friendly",4.5,1544,Check The Website for a Menu,Medium,False,True
Houlihan's," American, Bar, Vegetarian Friendly",4.0,90,http://www.houlihans.com/eats-and-drinks/menu/lunch/farmingdale,Medium,False,True
O'Doherty's Irish Grille," Irish, Bar, Pub",4.0,205,Check The Website for a Menu,Medium,False,False
Jackson Street Bbq," Barbecue, American, Southwestern",4.5,201,http://zb2.c9a.myftpupload.com/menu/,Medium,False,False
Metro North," American, Italian, Vegetarian Friendly",4.0,204,Check The Website for a Menu,Medium,False,True
White Manna," American, Fast Food, Diner",4.0,319,Check The Website for a Menu,Cheap,False,False
Dumpling Galaxy," Chinese, Asian, Vegetarian Friendly",4.0,42,http://www.dumplinggalaxy.com/menu.html,Medium,False,True
Piccola Cucina," Italian, European, Sicilian",4.5,1045,Check The Website for a Menu,Medium,False,False
Europa Italian & Spanish Cuisine," Italian, Spanish, Vegetarian Friendly",4.5,28,http://europaitalianspanish.com/menu/,Medium,False,True
Launderette," American, International, Vegetarian Friendly",4.5,267,http://launderetteaustin.com/menus,Medium,False,True
Satis Bistro," European, Vegetarian Friendly, Gluten Free Options",4.5,170,Check The Website for a Menu,Medium,False,True
Localis," American, Vegetarian Friendly, Vegan Options",4.5,78,Check The Website for a Menu,Medium,True,True
Las Campanas," Mexican, Southwestern, Latin",4.0,455,Check The Website for a Menu,Medium,False,False
Frank's Diner," American, Diner, Gluten Free Options",4.5,147,http://franksdiners.com/wp-content/uploads/2019/01/franks_menu1119.pdf,Medium,False,False
Up Thai restaurant," Asian, Thai, Vegetarian Friendly",4.5,351,http://www.upthainyc.com/front/menu,Medium,False,True
Asado," Steakhouse, Latin, Argentinean",4.5,311,Check The Website for a Menu,Pricey,False,False
Red Rooster Harlem," American, Bar, Vegetarian Friendly",4.0,2518,Check The Website for a Menu,Medium,False,True
Valentina's Tex Mex BBQ," Mexican, American, Southwestern",4.5,218,Check The Website for a Menu,Cheap,False,False
Numero 28 Pizzeria," Italian, Pizza, Neapolitan",4.5,1076,Check The Website for a Menu,Medium,False,False
E Bar Tex-Mex," Mexican, Southwestern, Vegetarian Friendly",4.5,185,Check The Website for a Menu,Medium,False,True
Club 33," American, Gluten Free Options, Vegetarian Friendly",4.5,245,Check The Website for a Menu,Pricey,False,True
The Harp Bar and Restaurant," Irish, Pub",4.5,27,Check The Website for a Menu,Medium,False,False
Yard House," American, Bar, Pub",4.0,261,Check The Website for a Menu,Medium,False,False
The Keg Steakhouse + Bar - Lynnwood," American, Steakhouse, Bar",4.5,369,Check The Website for a Menu,Medium,False,False
Fred's Mexican Cafe," Mexican, Southwestern, Bar",4.0,540,Check The Website for a Menu,Medium,False,False
Mama's Pizzeria," Italian, Pizza, Vegetarian Friendly",4.5,74,Check The Website for a Menu,Medium,False,True
Jimmy's Pizza & Pasta," Italian, Pizza, Vegetarian Friendly",4.5,179,Check The Website for a Menu,Medium,False,True
Nick's Pizza," Italian, Pizza, Vegetarian Friendly",4.0,148,Check The Website for a Menu,Medium,False,True
A Cote Restaurant," Vegetarian Friendly, Gluten Free Options",4.0,164,Check The Website for a Menu,Medium,False,True
One Guy Pizza," Italian, Pizza, Vegetarian Friendly",4.5,377,Check The Website for a Menu,Cheap,False,True
Oyster Bar I, Seafood,4.0,25,Check The Website for a Menu,Medium,False,False
Fish City Grill," American, Seafood, Bar",4.0,70,https://fishcitygrill.com/menu/,Medium,False,False
Paula's Public House," American, Gastropub, Pub",4.5,53,http://www.paulaspublichouse.com/menu.html,Medium,False,False
Carriage House Cafe," American, Bar, Cafe",4.0,178,Check The Website for a Menu,Medium,False,False
Brimstone," American, Bar, Pub",4.0,142,Check The Website for a Menu,Medium,False,False
Rainforest Cafe," American, Bar, Vegetarian Friendly",4.0,1117,https://www.sheratonatthefalls.com/wp-content/uploads/2017/05/NEW_RFC_Main_Menu_w_2017_SATF.jpg,Medium,False,True
Sweet Maple," American, Cafe, Gluten Free Options",4.5,897,Check The Website for a Menu,Medium,False,False
Wegmans Market Cafe," American, Vegan Options, Vegetarian Friendly",4.5,132,Check The Website for a Menu,Medium,True,True
Casual Habana Cafe," Caribbean, Latin, Spanish",4.5,187,Check The Website for a Menu,Medium,False,False
La Frontera Mexican Grill," Mexican, Latin, Vegetarian Friendly",4.5,40,Check The Website for a Menu,Medium,False,True
Caffe Aldo Lamberti," Seafood, Italian, Vegetarian Friendly",4.5,374,http://www.caffelamberti.com/menus.php,Pricey,False,True
Christopher's Restaurant," American, Seafood, Gluten Free Options",4.5,666,Check The Website for a Menu,Medium,False,False
